nombre_de_usuario,comentarios,likes,atributo_extra,tipo_influencer
Charissa,393,178,613,muser
Lee,681,29,848,viner
Karleigh,214,930,864,muser
Brock,514,208,518,tiktoker
Jonas,858,72,488,tiktoker
Angela,451,434,224,viner
Holly,459,726,80,tiktoker
Basil,182,473,87,muser
Caldwell,949,544,866,muser
Ralph,999,422,779,viner
Hunter,888,699,287,tiktoker
Sara,165,406,791,viner
Shelby,764,595,513,muser
Olga,321,19,569,tiktoker
Kuame,750,198,276,tiktoker
Alvin,857,895,32,muser
Macaulay,745,123,373,viner
Silas,645,131,889,viner
Melinda,208,639,737,viner
Alfreda,970,124,617,muser
Rebekah,694,373,364,muser
Geoffrey,954,732,318,tiktoker
Neil,215,234,532,viner
Deborah,635,367,932,tiktoker
Aidan,244,417,609,muser
Hope,224,38,811,muser
Hayfa,255,814,439,tiktoker
Rosalyn,379,284,621,viner
Jason,569,733,930,muser
Asher,49,135,142,tiktoker
Bethany,775,368,311,muser
Kimberley,669,761,384,muser
Janna,464,879,851,viner
Demetrius,57,257,538,viner
Demetrius,619,379,475,viner
Caldwell,960,691,862,viner
Dylan,709,956,970,tiktoker
Curran,187,475,841,muser
Stuart,83,501,46,tiktoker
Jared,138,805,520,viner
Caldwell,279,169,861,viner
Aidan,756,148,717,muser
Orlando,870,946,225,muser
Rudyard,390,424,951,tiktoker
Hayfa,506,40,188,tiktoker
Faith,173,863,627,muser
Justin,209,670,374,tiktoker
Isaiah,501,444,910,viner
Courtney,384,64,365,viner
Tatyana,43,55,35,muser
Shay,250,989,689,viner
Aspen,23,710,607,tiktoker
Nora,794,486,163,muser
Ursula,94,877,743,tiktoker
Clark,629,502,238,tiktoker
MacKenzie,776,839,208,viner
Sacha,407,366,718,viner
Murphy,84,131,83,viner
Aretha,660,687,366,muser
Maggy,833,258,424,muser
Zena,847,77,193,tiktoker
Cody,856,912,910,tiktoker
Herrod,927,57,294,muser
Tobias,117,509,211,tiktoker
Gil,6,357,450,viner
Paul,735,266,849,tiktoker
Derek,428,626,674,muser
Vaughan,23,924,352,tiktoker
Petra,608,909,398,muser
Ian,772,212,790,tiktoker
Vaughan,178,813,184,muser
Ciara,226,800,217,viner
Caesar,643,504,956,muser
Hyacinth,895,397,295,tiktoker
Dustin,795,598,648,viner
Darrel,792,442,280,muser
Griffin,320,868,389,viner
Prescott,624,457,979,viner
Irma,801,707,27,tiktoker
Alexis,525,882,41,viner
Blake,609,51,948,viner
Kasper,629,196,69,muser
Palmer,221,556,530,tiktoker
Chanda,773,94,424,tiktoker
Barbara,808,402,841,viner
Ezra,207,126,841,viner
Jarrod,890,36,619,muser
Jacqueline,791,927,929,tiktoker
Nola,454,305,463,muser
Zenia,411,253,944,muser
Sydney,388,159,23,viner
Alvin,762,275,579,tiktoker
Priscilla,593,968,49,muser
Yasir,853,704,388,viner
Dale,725,95,651,muser
Mechelle,52,62,999,viner
Rudyard,69,784,550,tiktoker
Camden,620,404,671,tiktoker
Maxine,742,632,557,muser
Ginger,369,968,10,tiktoker
