nombre,edad,peso,hambre,generacion
Wyatt,15,43,7,3
Griffin,15,32,7,3
Dora,25,16,4,2
Sade,57,43,5,1
Josephine,42,42,8,2
Roth,38,13,2,2
Blythe,50,43,9,2
Constance,55,50,4,3
Thane,13,27,5,3
Murphy,7,28,7,3
Brenden,33,17,9,3
Ila,53,3,10,1
Len,8,9,3,2
Kai,31,27,9,2
Quentin,22,45,10,2
Raja,23,25,3,1
Jared,6,45,9,3
Kermit,4,36,8,1
Mercedes,36,1,8,2
Adam,49,43,5,3
Ezekiel,53,38,5,2
Callie,60,18,7,2
Jada,16,30,3,1
Sydnee,44,41,4,1
Harding,42,9,7,1
Autumn,6,34,8,1
Patience,1,29,8,1
Aimee,60,8,8,1
Nyssa,27,36,2,2
Carly,33,1,10,2
Jada,35,47,8,1
Reuben,26,6,10,1
Urielle,6,2,4,2
Galvin,56,44,8,3
Kimberly,30,44,8,3
Carlos,52,4,7,3
Barclay,45,22,2,1
Denton,57,8,4,1
Quon,33,22,7,3
Aidan,50,36,2,1
Bo,40,7,5,1
Warren,29,31,4,1
Lacota,42,39,1,2
Talon,42,20,6,3
Jolene,58,7,5,2
Jeanette,50,34,4,3
Belle,46,9,8,3
Thor,43,26,3,2
Neville,1,32,8,1
Shelby,26,20,10,3
Rachel,45,23,5,1
Alfonso,53,45,7,3
Uriel,42,49,7,1
Laura,8,37,1,1
Lars,15,4,2,3
Alexandra,36,38,9,1
Jaden,13,25,2,2
Cade,41,43,6,1
Herrod,42,35,2,2
Ivan,7,16,7,2
Isadora,17,44,2,1
Sydnee,31,25,4,1
Felicia,5,19,10,3
Rae,51,47,2,2
Blaze,54,50,3,1
Madeline,11,46,1,3
Adrian,4,7,2,2
Audrey,2,41,4,3
Virginia,22,24,2,1
Alice,28,31,4,2
Chase,48,42,4,1
Dennis,9,50,4,3
Clare,28,6,1,3
Kimberly,4,46,7,2
Thomas,46,24,5,1
Len,56,35,8,3
Brock,37,16,7,2
Marshall,47,34,8,1
Isaac,5,33,1,1
Acton,16,25,7,3
Ramona,11,26,7,3
Matthew,58,27,2,2
Myra,58,44,6,2
Hedy,9,48,8,2
Illana,19,27,7,1
Elaine,7,43,9,3
Maisie,50,39,8,2
Ori,48,33,3,2
Galvin,4,47,9,3
Branden,39,15,1,2
Ursa,56,13,2,1
Alyssa,1,8,2,2
Macon,51,12,2,1
Alexis,52,36,6,1
Hyatt,45,36,7,2
Aladdin,3,17,9,2
Flavia,52,25,7,1
Jasmine,24,27,5,3
Leilani,9,31,6,2
Orli,25,1,4,3
