id,Name in English,Countries,Country codes,Degree of endangerment,Number of speakers
0,South Italian,Italy,ITA,Vulnerable,75000000
1,Sicilian,Italy,ITA,Vulnerable,50000000
2,Low Saxon,Germany;Denmark;Netherlands;Poland;Russian Federation,DEU;DNK;NLD;POL;RUS,Vulnerable,48000000
3,Belarusian,Belarus;Latvia;Lithuania;Poland;Russian Federation;Ukraine,BRB;LVA;LTU;POL;RUS;UKR,Vulnerable,40000000
4,Lombard,Italy;Switzerland,ITA;CHE,Definitely endangered,35000000
5,Romani,Albania;Germany;Austria;Belarus;Bosnia and Herzegovina;Bulgaria;Croatia;Estonia;Finland;France;Greece;Hungary;Italy;Latvia;Lithuania;The former Yugoslav Republic of Macedonia;Netherlands;Poland;Romania;United Kingdom of Great Britain and Northern Ireland;Russian Federation;Slovakia;Slovenia;Switzerland;Czech Republic;Turkey;Ukraine;Serbia;Montenegro,ALB;DEU;AUT;BRB;BIH;BGR;HRV;EST;FIN;FRA;GRC;HUN;ITA;LVA;LTU;MKD;NLD;POL;ROU;GBR;RUS;SVK;SVN;CHE;CZE;TUR;UKR;SRB;MNE,Definitely endangered,35000000
6,Yiddish (Israel),Israel,ISR,Definitely endangered,30000000
7,Gondi,India,IND,Vulnerable,27137900
8,Limburgian-Ripuarian,Germany;Belgium;Netherlands,DEU;BEL;NLD,Vulnerable,26000000
9,Quechua of Southern Bolivia,Bolivia (Plurinational State of),BOL,Vulnerable,23000000
10,Kumaoni,India;Nepal,IND;NPL,Vulnerable,20037830
11,Aymara,Bolivia (Plurinational State of);Chile;Peru,BOL;CHL;PER,Vulnerable,20000000
12,Emilian-Romagnol,Italy;San Marino,ITA;SMR,Definitely endangered,20000000
13,Piedmontese,Italy,ITA,Definitely endangered,20000000
14,Venetan,Croatia;Italy;Slovenia,HRV;ITA;SVN,Vulnerable,20000000
15,Zazaki,Turkey,TUR,Vulnerable,20000000
16,Kurux (India),India,IND,Vulnerable,17514890
17,Tamajeq,Niger,NER,Vulnerable,17500000
18,Tulu,India,IND,Vulnerable,17227680
19,Kangdi,India,IND,Definitely endangered,17000000
20,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,15000000
21,Torlak,Albania;Bulgaria;The former Yugoslav Republic of Macedonia;Romania;Serbia,ALB;BGR;MKD;ROU;SRB,Vulnerable,15000000
22,West Flemish,Belgium;France;Netherlands,BEL;FRA;NLD,Vulnerable,15000000
23,Bashkir,Russian Federation,RUS,Vulnerable,13797270
24,Chechen,Russian Federation,RUS,Vulnerable,13318440
25,Chuvash,Russian Federation,RUS,Vulnerable,13253820
26,Meithei,India,IND,Vulnerable,12500000
27,Tamang,India;Nepal,IND;NPL,Vulnerable,11966390
28,Quechua of Cuzco,Peru,PER,Vulnerable,11150000
29,Eastern Slovak,Slovakia;Ukraine,SVK;UKR,Vulnerable,10000000
30,Ligurian,France;Italy;Monaco,FRA;ITA;MCO,Definitely endangered,10000000
31,Rusyn,Hungary;Poland;Romania;Slovakia;Ukraine,HUN;POL;ROU;SVK;UKR,Vulnerable,10000000
32,Talysh,Azerbaijan;Iran (Islamic Republic of),AZE;IRN,Vulnerable,10000000
33,Kui,India,IND,Vulnerable,9162220
34,Khasi,India,IND,Vulnerable,9120000
35,Bodo,India,IND,Vulnerable,9000000
36,Campidanese,Italy,ITA,Definitely endangered,9000000
37,K'iche' (Guatemala),Guatemala,GTM,Vulnerable,8905960
38,Quechua of Ayacucho,Peru,PER,Definitely endangered,8500000
39,Newar,Nepal,NPL,Definitely endangered,8254580
40,Mon,Myanmar;Thailand,MMR;THA,Vulnerable,8000000
41,Tamaceq,Mali,MLI,Definitely endangered,8000000
42,Avar,Russian Federation,RUS,Vulnerable,7848400
43,Mundari,India,IND,Vulnerable,7500000
44,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,7500000
